Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Upgrade,7.0,Logan Marshall-Green,Richard Anastasios,Rosco Campbell,"Action, Comedy, Horror","Set in the near-future, technology controls nearly all aspects of life. But when Grey, a self-identified technophobe, has his world turned upside down, his only hope for revenge is an experimental computer chip implant called Stem."
The Dark Tower,5.7,Idris Elba,Matthew McConaughey,Tom Taylor,"Action, Adventure, Fantasy","The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O'Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black."
Beyond Skyline,5.3,Frank Grillo,Bojana Novakovic,Jonny Weston,"Action, Adventure, Horror",A tough-as-nails detective embarks on a relentless pursuit to free his son from a nightmarish alien warship.
The First Purge,5.6,Marisa Tomei,Lex Scott Davis,Luna Lauren Velez,"Action, Crime, Horror",The film will be a prequel that will focus on the events that lead up to the very first Purge event.
The Strangers: Prey at Night,3.9,Christina Hendricks,Bailee Madison,Martin Henderson,Horror,A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.
Daphne & Velma,6.7,Sarah Jeffery,Sarah Gilman,Vanessa Marano,"Action, Comedy, Crime",The female future members of Mystery Inc. investigate strange goings-on in their school.
Z Nation,8.5,Nat Zang,Keith Allan,Kellita Smith,"Action, Comedy, Drama","Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood."
Alien,7.7,Sigourney Weaver,Tom Skerritt,John Hurt,"Horror, Sci-Fi","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun."
The Nun,7.5,Taissa Farmiga,Bonnie Aarons,Demián Bichir,"Horror, Mystery, Thriller",A priest named Father Burke is sent to Romania to investigate the mysterious death of a nun.
Zombieland,3.8,Jesse Eisenberg,Emma Stone,Woody Harrelson,"Adventure, Comedy, Horror","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
The Conjuring,4.6,Patrick Wilson,Vera Farmiga,Ron Livingston,"Horror, Mystery, Thriller",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
The Sand,6.3,Brooke Butler,Cleo,Cynthia Murell,"Horror, Sci-Fi","After an all-night graduation beach party, a group of hung-over twenty-somethings awake to a beating sun, and a seemingly carnivorous beach that devours anything with a heartbeat that touches the sand."
Desolation,9.0,Toby Nichols,Jaimi Paige,Alyshia Ochse,"Drama, Horror, Thriller",A mother takes her son and her best friend on a trip into remote wilderness to scatter his father's ashes; they must confront their fears when a lone hiker begins following them.
The Passage,8.2,Karen Valero,Zach Appelman,Tyler Barnhardt,"Action, Adventure, Drama","When a botched U.S. government experiment turns a group of death row inmates into highly infectious vampires, an orphan girl might be the only person able to stop the ensuing crisis."
The Ritual,6.6,Rafe Spall,Arsher Ali,Robert James-Collier,Horror,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them."
The Twilight Zone,4.2,Robert McCord,Jay Overholts,Vaughn Taylor,"Fantasy, Horror, Mystery","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
Penny Dreadful,8.8,Timothy Dalton,Eva Green,Reeve Carney,"Drama, Fantasy, Horror","Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein, and medium Vanessa Ives unite to combat supernatural threats in Victorian London."
Life,6.4,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,"Horror, Sci-Fi, Thriller",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.
Jeepers Creepers III,5.8,Stan Shaw,Gabrielle Haugh,Brandon Smith,"Action, Horror, Mystery",Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.
Attack on Titan,4.9,Marina Inoue,Josh Grelle,Bryce Papenbrook,"Animation, Action, Adventure","After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Tremors,5.5,Kevin Bacon,Hunter Parrish,Fred Ward,"Comedy, Horror",A television reboot of the film 'Tremors' in which a small town is gripped with fear over giant underground worms living beneath them.
The Blob,7.2,Russell S. Doughten Jr.,Steve McQueen,Aneta Corsaut,"Horror, Sci-Fi",An alien lifeform consumes everything in its path as it grows and grows.
Jigsaw,6.8,Peter Spierig,Matt Passmore,Tobin Bell,"Crime, Horror, Mystery","Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years."
Primal Rage,6.0,Casey Gagliardi,Andrew Joseph Montgomery,Jameson Pazak,Horror,"A newly reunited young couple's drive through the Pacific Northwest turns into a nightmare as they are forced to face nature, unsavory locals, and a monstrous creature, known to the Native Americans as Oh-Mah."
Mom and Dad,8.5,Nicolas Cage,Selma Blair,Anne Winters,"Horror, Thriller",A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.
Tremors,6.8,Kevin Bacon,Fred Ward,Finn Carter,"Comedy, Horror",Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one.
It Follows,6.7,Maika Monroe,Keir Gilchrist,Olivia Luccardi,"Horror, Mystery",A young woman is followed by an unknown supernatural force after a sexual encounter.
"Salò, or the 120 Days of Sodom",6.0,Paolo Bonacelli,Laura Betti,Giorgio Cataldi,"Drama, Horror, War","In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to one hundred and twenty days of physical, mental and sexual torture."
Psycho,5.6,Anthony Perkins,Janet Leigh,Vera Miles,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
The Witch,6.8,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,"Horror, Mystery","A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession."
Ghostland,6.8,Crystal Reed,Mylène Farmer,Anastasia Phillips,Horror,"The story follows a mother of two who inherits a home from her aunt. On the first night in the new home, she is confronted with murderous intruders and fights for her daughters' lives. ..."
Van Helsing,5.2,Jonathan Scarfe,Vincent Gale,Rukiya Bernard,"Action, Drama, Fantasy",»
The Cloverfield Paradox,7.3,Gugu Mbatha-Raw,David Oyelowo,Daniel Brühl,"Horror, Mystery, Sci-Fi","Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world."
Ghost Stories,6.2,Andy Nyman,Andy Nyman,Martin Freeman,"Drama, Horror","Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality."
Unsane,6.2,Claire Foy,Joshua Leonard,Jay Pharoah,"Horror, Thriller",Arch skeptic Professor Phillip Goodman embarks upon a terror-filled quest when he stumbles across a long-lost file containing details of three cases of inexplicable 'hauntings'.
A Serbian Film,5.9,Srdjan 'Zika' Todorovic,Sergej Trifunovic,Jelena Gavrilovic,"Horror, Mystery, Thriller","A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear--but is it real or a product of her delusion?"
Scream: The TV Series,5.7,Bex Taylor-Klaus,John Karna,Carlson Young,"Crime, Drama, Horror","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
