name,link,rating
Sri Ananda Bhavan,/Restaurant_Review-g298298-d4861117-Reviews-Sri_Ananda_Bhavan-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Ipoh Parade Shopping Centre,/Restaurant_Review-g298298-d1161426-Reviews-Ipoh_Parade_Shopping_Centre-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Restoran Mun Choong S/B,/Restaurant_Review-g298298-d7118382-Reviews-Restoran_Mun_Choong_S_B-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Hoong Tho Restaurant,/Restaurant_Review-g298298-d9595100-Reviews-Hoong_Tho_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
The Limestone's Fine Dining,/Restaurant_Review-g298298-d2193515-Reviews-The_Limestone_s_Fine_Dining-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Foh San,/Restaurant_Review-g298298-d808589-Reviews-Foh_San-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Vintage Cafe,/Restaurant_Review-g298298-d10810997-Reviews-Vintage_Cafe-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Wong Koh Kee Restaurant,/Restaurant_Review-g298298-d4402762-Reviews-Wong_Koh_Kee_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Volcano Grill Cafe,/Restaurant_Review-g298298-d7274308-Reviews-Volcano_Grill_Cafe-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Xin Quan Fang,/Restaurant_Review-g298298-d5768660-Reviews-Restoran_Xin_Quan_Fang-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Little Elephant,/Restaurant_Review-g298298-d10061176-Reviews-Little_Elephant-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Assam House,/Restaurant_Review-g298298-d1161447-Reviews-Restoran_Assam_House-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Sun Lee How Fook,/Restaurant_Review-g298298-d1501115-Reviews-Sun_Lee_How_Fook-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Fu Tien Vegetarian Restaurant,/Restaurant_Review-g298298-d2256363-Reviews-Fu_Tien_Vegetarian_Restaurant-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Koh Samui,/Restaurant_Review-g298298-d4450431-Reviews-Koh_Samui-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Sun Yeong Wai,/Restaurant_Review-g298298-d10686452-Reviews-Sun_Yeong_Wai-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Crabtain Hook Restaurant,/Restaurant_Review-g298298-d12705625-Reviews-Crabtain_Hook_Restaurant-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Maharaj,/Restaurant_Review-g298298-d7086012-Reviews-Maharaj-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Indulgence Restaurant,/Restaurant_Review-g298298-d1017591-Reviews-Indulgence_Restaurant-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Tuck Kee Restaurant,/Restaurant_Review-g298298-d2488805-Reviews-Tuck_Kee_Restaurant-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Kedai Makanan Rasa Lain,/Restaurant_Review-g298298-d7350371-Reviews-Kedai_Makanan_Rasa_Lain-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Euro House,/Restaurant_Review-g298298-d3566353-Reviews-Euro_House-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Sun Seng Fatt Curry House,/Restaurant_Review-g298298-d7006886-Reviews-Sun_Seng_Fatt_Curry_House-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
East Ocean Seafood Restaurant,/Restaurant_Review-g298298-d7359765-Reviews-East_Ocean_Seafood_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Konda Kondi Cafe And Bistro,/Restaurant_Review-g298298-d10613811-Reviews-Konda_Kondi_Cafe_And_Bistro-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Ipoh Hainan Chicken Rice,/Restaurant_Review-g298298-d2269913-Reviews-Ipoh_Hainan_Chicken_Rice-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
