Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Supernatural,8.5,Jensen Ackles,Jim Beaver,Misha Collins,"Drama, Fantasy, Horror","Two brothers follow their father's footsteps as ""hunters"", fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
The Predator,8,Yvonne Strahovski,Olivia Munn,Boyd Holbrook,"Action, Adventure, Horror","When a young boy accidentally triggers the universe's most lethal hunters return to Earth, only a ragtag crew of ex-soldiers and a disgruntled science teacher can prevent the end of the human race."
A Quiet Place,8.4,Emily Blunt,John Krasinski,Millicent Simmonds,"Drama, Horror, Sci-Fi","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
The Walking Dead,7,Norman Reedus,Melissa McBride,Lauren Cohan,"Drama, Horror, Thriller","Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive."
Fear the Walking Dead,8.3,Frank Dillane,Cliff Curtis,Rubén Blades,"Drama, Horror, Sci-Fi","A Walking Dead spin-off, set in Los Angeles, following two families who must band together to survive the undead apocalypse."
The Originals,4.7,Daniel Gillies,Claire Holt,Phoebe Tonkin,"Drama, Fantasy, Horror",A family of power-hungry thousand year old vampires look to take back the city that they built and dominate all those who have done them wrong.
Truth or Dare,8.9,Lucy Hale,Tyler Posey,Violett Beane,"Horror, Thriller",A harmless game of Truth or Dare among friends turns deadly when someone -- or something -- begins to punish those who tell a lie or refuse the dare.
Stranger Things,8.3,Finn Wolfhard,Winona Ryder,David Harbour,"Drama, Fantasy, Horror","When a young boy disappears, his mother, a police chief, and his friends, must confront terrifying forces in order to get him back."
The Terror,8.1,Tobias Menzies,Ciarán Hinds,Paul Ready,"Adventure, Drama, History","In 1848, two real life warships, HMS Terror and HMS Erebus, sent on a Royal Naval expedition to find the treacherous Northwest Passage become trapped in ice near Arctic and face starvation, mutiny, cannibalism and a demonic polar bear."
Venom,8,Tom Hardy,Michelle Williams,Woody Harrelson,"Action, Horror, Sci-Fi","When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego ""Venom"" to save his life."
